#imagename,groups,profile,imagetype,description,provmethod,rootfstype,osdistroname,osupdatename,cfmdir,osname,osvers,osarch,synclists,postscripts,postbootscripts,serverrole,isdeletable,kitcomponents,comments,disable
"centos7.0-x86_64-install-compute",,"compute","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-install-xen",,"xen","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-install-storage",,"storage","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-install-all",,"all","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-install-iscsi",,"iscsi","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-netboot-compute",,"compute","linux",,"netboot",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-netboot-xen",,"xen","linux",,"netboot",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-netboot-kvm",,"kvm","linux",,"netboot",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-statelite-compute",,"compute","linux",,"statelite",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-statelite-xen",,"xen","linux",,"statelite",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-statelite-kvm",,"kvm","linux",,"statelite",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,,,,,,
"centos7.0-x86_64-install-controller",,"controller","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,"cv_install_slapd,cv_install_xcat,cv_install_docker",,,,,
"centos7.0-x86_64-install-openstack",,"openstack","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,"cv_install_slapd,cv_install_openstack",,,,,
"centos7.0-x86_64-install-master",,"master","linux",,"install",,"centos7.0-x86_64",,,"Linux","centos7.0","x86_64",,,"cv_install_master",,,,,
